Invoice Number,Supplier GSTIN,Receiver GSTIN,Invoice Date,Line-Item HSN Code,Taxable Value,CGST Rate,SGST Rate,IGST Rate,Total Tax,Total Amount,Payment Status
INV-2024-0032,29AACCG9012C1Z8,27BBBCT8765C1Z3,2024-01-15,8517,67314.6,0.0,0.0,18.0,12116.63,79431.23,Paid
INV-2024-0033,07AAAAA1234A1Z5,24BBGGG5432G1Z2,2024-05-04,1905,5214.8,0.0,0.0,5.0,260.74,5475.54,Pending
INV-2024-0034,27AABCT5678B1Z2,27BBBCT8765C1Z3,2024-06-17,3004,57076.68,6.0,6.0,0.0,6849.2,63925.88,Paid
INV-2024-0035,29AACCG9012C1Z8,19BBFFE0987F1Z0,2024-06-04,3004,58039.96,0.0,0.0,12.0,6964.8,65004.76,Pending
INV-2024-0036,27AABCT5678B1Z2,24BBGGG5432G1Z2,2024-03-20,3004,59733.21,0.0,0.0,12.0,7167.99,66901.2,Overdue
INV-2024-0037,29AACCG9012C1Z8,33BBDDE6543E1Z7,2024-05-12,3004,11655.23,0.0,0.0,12.0,1398.63,13053.86,Paid
INV-2024-0038,07AAAAA1234A1Z5,29BBCCG2109D1Z4,2024-01-06,7210,506519.57,0.0,0.0,18.0,91173.52,597693.09,Pending
INV-2024-0039,27AABCT5678B1Z2,07BBBBB4321B1Z9,2024-01-19,8708,144376.11,0.0,0.0,28.0,40425.31,184801.42,Paid
INV-2024-0040,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-03-25,8471,73844.83,9.0,9.0,0.0,13292.06,87136.89,Paid
INV-2024-0041,33AADDE3456D1Z1,27BBBCT8765C1Z3,2024-05-18,8471,18500000.0,9.0,9.0,0.0,3330000.0,21830000.0,Pending
INV-2024-0042,09AAFFE7890E1Z6,33BBDDE6543E1Z7,2024-03-03,1905,18135.13,0.0,0.0,5.0,906.76,19041.89,Pending
INV-2024-0043,27AABCT5678B1Z2,07BBBBB4321B1Z9,2024-01-25,8708,103365.49,0.0,0.0,28.0,28942.34,132307.83,Pending
INV-2024-0044,33AADDE3456D1Z1,33BBDDE6543E1Z7,2024-01-14,8708,148958.38,14.0,14.0,0.0,41708.34,190666.72,Overdue
INV-2024-0045,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-04-13,8708,84557.03,14.0,14.0,0.0,23675.96,108232.99,Paid
INV-2024-0046,27AABCT5678B1Z2,27BBBCT8765C1Z3,2024-02-18,7210,425432.43,9.0,9.0,0.0,76577.84,502010.27,Pending
INV-2024-0047,27AABCT5678B1Z2,29BBCCG2109D1Z4,2024-04-28,8517,67092.62,0.0,0.0,18.0,12076.67,79169.29,Paid
INV-2024-0048,33AADDE3456D1Z1,36BBHHH1122H1Z5,2024-05-20,8471,29805.89,0.0,0.0,18.0,5365.06,35170.95,Pending
INV-2024-0049,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-03-01,8517,37604.09,9.0,9.0,0.0,6768.74,44372.83,Pending
INV-2024-0050,27AABCT5678B1Z2,36BBHHH1122H1Z5,2024-04-12,8471,40640.53,0.0,0.0,18.0,7315.3,47955.83,Paid
INV-2024-0051,33AADDE3456D1Z1,29BBCCG2109D1Z4,2024-04-26,9983,219202.99,0.0,0.0,18.0,39456.54,258659.53,Overdue
INV-2024-0052,09AAFFE7890E1Z6,24BBGGG5432G1Z2,2024-05-04,8517,23963.57,0.0,0.0,18.0,4313.44,28277.01,Paid
INV-2024-0053,07AAAAA1234A1Z5,19BBFFE0987F1Z0,2024-05-18,8471,96057.68,0.0,0.0,18.0,17290.38,113348.06,Paid
INV-2024-0054,07AAAAA1234A1Z5,19BBFFE0987F1Z0,2024-05-02,7210,787928.09,0.0,0.0,18.0,141827.06,929755.15,Pending
INV-2024-0055,27AABCT5678B1Z2,07BBBBB4321B1Z9,2024-05-10,8471,100000.0,9.0,9.0,0.0,85000.0,185000.0,Paid
INV-2024-0056,09AAFFE7890E1Z6,07BBBBB4321B1Z9,2024-06-21,1905,10526.52,0.0,0.0,5.0,526.33,11052.85,Paid
INV-2024-0057,09AAFFE7890E1Z6,27BBBCT8765C1Z3,2024-05-28,7210,110601.08,0.0,0.0,18.0,19908.19,130509.27,Paid
INV-2024-0058,33AADDE3456D1Z1,24BBGGG5432G1Z2,2024-05-29,7210,482542.69,0.0,0.0,18.0,86857.68,569400.37,Paid
INV-2024-0059,27AABCT5678B1Z2,24BBGGG5432G1Z2,2024-03-21,8517,28733.71,0.0,0.0,18.0,5172.07,33905.78,Paid
INV-2024-0060,29AACCG9012C1Z8,33BBDDE6543E1Z7,2024-03-21,1905,32943.5,0.0,0.0,5.0,1647.18,34590.68,Paid
INV-2024-0061,33AADDE3456D1Z1,19BBFFE0987F1Z0,2024-05-24,8471,31959.77,0.0,0.0,18.0,5752.76,37712.53,Paid
INV-2024-0062,09AAFFE7890E1Z6,29BBCCG2109D1Z4,2024-02-03,9983,402345.67,0.0,0.0,18.0,72422.22,474767.89,Paid
INV-2024-0063,27AABCT5678B1Z2,29BBCCG2109D1Z4,2024-02-10,3004,50855.97,9.0,9.0,0.0,9154.07,60010.04,Overdue
INV-2024-0064,29AACCG9012C1Z8,19BBFFE0987F1Z0,2024-06-16,7210,86023.79,0.0,0.0,18.0,15484.28,101508.07,Pending
INV-2024-0065,29AACCG9012C1Z8,24BBGGG5432G1Z2,2024-01-27,8517,28661.35,0.0,0.0,18.0,5159.04,33820.39,Paid
INV-2024-0066,09AAFFE7890E1Z6,27BBBCT8765C1Z3,2024-03-10,9983,291931.93,0.0,0.0,18.0,52547.75,344479.68,Overdue
INV-2024-0067,29AACCG9012C1Z8,27BBBCT8765C1Z3,2024-06-24,8708,189847.13,0.0,0.0,28.0,53157.2,243004.33,Pending
INV-2024-0068,33AADDE3456D1Z1,29BBCCG2109D1Z4,2024-01-14,8471,85257.02,0.0,0.0,18.0,15346.26,100603.28,Paid
INV-2024-0069,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-03-26,1905,7186.23,2.5,2.5,0.0,359.32,7545.55,Paid
INV-2024-0070,27AABCT5678B1Z2,24BBGGG5432G1Z2,2024-04-23,7210,623363.93,0.0,0.0,18.0,112205.51,735569.44,Pending
INV-2024-0071,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-01-20,8708,200305.36,14.0,14.0,0.0,56085.5,256390.86,Pending
INV-2024-0072,07AAAAA1234A1Z5,36BBHHH1122H1Z5,2024-04-04,7210,505444.32,0.0,0.0,18.0,90979.98,596424.3,Pending
INV-2024-0073,27AABCT5678B1Z2,07BBBBB4321B1Z9,2024-03-19,9983,409592.6,0.0,0.0,18.0,73726.67,483319.27,Paid
INV-2024-0074,29AACCG9012C1Z8,27BBBCT8765C1Z3,2024-06-23,8517,54016.8,0.0,0.0,18.0,9723.02,63739.82,Paid
INV-2024-0075,09AAFFE7890E1Z6,36BBHHH1122H1Z5,2024-04-14,7210,657097.76,0.0,0.0,18.0,118277.6,775375.36,Paid
INV-2024-0076,27AABCT5678B1Z2,36BBHHH1122H1Z5,2024-02-15,3004,6363.25,0.0,0.0,12.0,763.59,7126.84,Overdue
INV-2024-0077,29AACCG9012C1Z8,36BBHHH1122H1Z5,2024-04-15,1905,24437.03,0.0,0.0,5.0,1221.85,25658.88,Overdue
INV-2024-0008,09AAFFE7890E1Z6,29BBCCG2109D1Z4,2024-02-10,1905,25440.9,0.0,0.0,5.0,1272.05,26712.95,Pending
INV-2024-0079,07AAAAA1234A1Z5,36BBHHH1122H1Z5,2024-04-30,8517,24573.09,0.0,0.0,18.0,4423.16,28996.25,Pending
INV-2024-0080,29AACCG9012C1Z8,29BBCCG2109D1Z4,2024-02-28,8517,13490.86,9.0,9.0,0.0,2428.36,15919.22,Paid
INV-2024-0081,33AADDE3456D1Z1,29BBCCG2109D1Z4,2024-03-12,1905,5221.46,0.0,0.0,5.0,261.07,5482.53,Paid
INV-2024-0082,29AACCG9012C1Z8,24BBGGG5432G1Z2,2024-05-10,3004,42373.5,0.0,0.0,12.0,5084.82,47458.32,Pending
INV-2024-0083,29AACCG9012C1Z8,07BBBBB4321B1Z9,2024-01-30,9983,121427.13,0.0,0.0,18.0,21856.88,143284.01,Paid
INV-2024-0084,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-06-01,3004,24012.79,6.0,6.0,0.0,2881.54,26894.33,Paid
INV-2024-0085,33AADDE3456D1Z1,19BBFFE0987F1Z0,2024-05-10,8471,61593.57,0.0,0.0,18.0,11086.84,72680.41,Pending
INV-2024-0086,27AABCT5678B1Z2,29BBCCG2109D1Z4,2024-01-12,8708,104391.79,0.0,0.0,28.0,29229.7,133621.49,Pending
INV-2024-0087,09AAFFE7890E1Z6,24BBGGG5432G1Z2,2024-06-20,8517,34945.95,0.0,0.0,18.0,6290.27,41236.22,Paid
INV-2024-0088,29AACCG9012C1Z8,19BBFFE0987F1Z0,2024-03-21,8708,188843.13,0.0,0.0,28.0,52876.08,241719.21,Overdue
INV-2024-0089,29AACCG9012C1Z8,19BBFFE0987F1Z0,2024-03-20,8708,350000.0,0.0,0.0,0.0,0.0,350000.0,Pending
INV-2024-0090,29AACCG9012C1Z8,19BBFFE0987F1Z0,2024-02-02,8517,38488.12,0.0,0.0,18.0,6927.86,45415.98,Pending
INV-2024-0091,27AABCT5678B1Z2,19BBFFE0987F1Z0,2024-05-25,9983,212430.07,0.0,0.0,18.0,38237.41,250667.48,Paid
INV-2024-0092,29AACCG9012C1Z8,29BBCCG2109D1Z4,2024-02-23,3004,48216.74,6.0,6.0,0.0,5786.0,54002.74,Pending
INV-2024-0093,29AACCG9012C1Z8,33BBDDE6543E1Z7,2024-04-23,3004,42159.5,0.0,0.0,12.0,5059.14,47218.64,Pending
INV-2024-0094,33AADDE3456D1Z1,36BBHHH1122H1Z5,2024-02-13,8708,75000.0,0.0,0.0,28.0,13500.0,61500.0,Pending
INV-2024-0095,09AAFFE7890E1Z6,29BBCCG2109D1Z4,2024-01-24,1905,33463.99,0.0,0.0,5.0,1673.2,35137.19,Paid
INV-2024-0096,29AACCG9012C1Z8,27BBBCT8765C1Z3,2024-02-20,8517,13538.8,0.0,0.0,18.0,2436.98,15975.78,Paid
INV-2024-0097,33AADDE3456D1Z1,19BBFFE0987F1Z0,2024-01-19,3004,27794.26,0.0,0.0,12.0,3335.31,31129.57,Overdue
INV-2024-0098,09AAFFE7890E1Z6,27BBBCT8765C1Z3,2024-06-27,3004,32190.74,0.0,0.0,12.0,3862.89,36053.63,Paid
INV-2024-0099,27AABCT5678B1Z2,24BBGGG5432G1Z2,2024-06-25,8471,109802.68,0.0,0.0,18.0,19764.48,129567.16,Paid
INV-2024-0100,33AADDE3456D1Z1,27BBBCT8765C1Z3,2024-02-15,1905,33654.91,0.0,0.0,5.0,1682.75,35337.66,Pending
